"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 08 04:55:09 GMT 2023","Sun Jan 08 04:55:28 GMT 2023","19455","tests","test_registration","","","","test_input_name_pozitive[29 symbols]",""
"passed","Sun Jan 08 04:52:14 GMT 2023","Sun Jan 08 04:52:23 GMT 2023","8960","tests","test_main","","","","test_input_ls_in_mail",""
"passed","Sun Jan 08 04:51:15 GMT 2023","Sun Jan 08 04:51:23 GMT 2023","8722","tests","test_main","","","","test_btn_phone_default",""
"passed","Sun Jan 08 04:54:02 GMT 2023","Sun Jan 08 04:54:21 GMT 2023","19420","tests","test_registration","","","","test_input_name_pozitive[2 symbols]",""
"skipped","Sun Jan 08 04:58:47 GMT 2023","Sun Jan 08 04:58:57 GMT 2023","9979","tests","test_registration","","","","test_input_name_negative[with 2 -]",""
"passed","Sun Jan 08 04:52:37 GMT 2023","Sun Jan 08 04:52:46 GMT 2023","9161","tests","test_main","","","","test_input_login_in_ls",""
"passed","Sun Jan 08 04:51:26 GMT 2023","Sun Jan 08 04:51:35 GMT 2023","9029","tests","test_main","","","","test_input_mail_in_phone",""
"passed","Sun Jan 08 04:55:30 GMT 2023","Sun Jan 08 04:55:50 GMT 2023","19738","tests","test_registration","","","","test_input_name_pozitive[30 symbols]",""
"skipped","Sun Jan 08 04:59:12 GMT 2023","Sun Jan 08 04:59:21 GMT 2023","9726","tests","test_registration","","","","test_input_name_negative[digit]",""
"passed","Sun Jan 08 04:51:54 GMT 2023","Sun Jan 08 04:52:01 GMT 2023","6784","tests","test_main","","","","test_input_phone_in_mail",""
"passed","Sun Jan 08 04:57:02 GMT 2023","Sun Jan 08 04:57:23 GMT 2023","20180","tests","test_registration","","","","test_input_name_pozitive[upper]",""
"passed","Sun Jan 08 04:49:03 GMT 2023","Sun Jan 08 04:49:14 GMT 2023","10926","tests","test_login","","","","test_user_can_autorize_valid_login",""
"passed","Sun Jan 08 04:52:26 GMT 2023","Sun Jan 08 04:52:35 GMT 2023","9023","tests","test_main","","","","test_input_mail_in_ls",""
"skipped","Sun Jan 08 04:59:36 GMT 2023","Sun Jan 08 04:59:47 GMT 2023","10846","tests","test_registration","","","","test_input_name_negative[with space]",""
"skipped","Sun Jan 08 04:57:25 GMT 2023","Sun Jan 08 04:57:34 GMT 2023","9457","tests","test_registration","","","","test_input_name_negative[empty]",""
"skipped","Sun Jan 08 04:58:32 GMT 2023","Sun Jan 08 04:58:45 GMT 2023","12524","tests","test_registration","","","","test_input_name_negative[Latin symbols]",""
"passed","Sun Jan 08 04:54:46 GMT 2023","Sun Jan 08 04:55:06 GMT 2023","20084","tests","test_registration","","","","test_input_name_pozitive[15 symbols]",""
"skipped","Sun Jan 08 04:58:02 GMT 2023","Sun Jan 08 04:58:12 GMT 2023","10285","tests","test_registration","","","","test_input_name_negative[255 symbols]",""
"skipped","Sun Jan 08 04:59:24 GMT 2023","Sun Jan 08 04:59:33 GMT 2023","9389","tests","test_registration","","","","test_input_name_negative[symbols with digit]",""
"passed","Sun Jan 08 04:50:52 GMT 2023","Sun Jan 08 04:51:01 GMT 2023","8733","tests","test_main","","","","test_btn_login",""
"passed","Sun Jan 08 04:48:50 GMT 2023","Sun Jan 08 04:48:59 GMT 2023","8878","tests","test_login","","","","test_error_empty_email",""
"passed","Sun Jan 08 04:56:37 GMT 2023","Sun Jan 08 04:57:00 GMT 2023","23477","tests","test_registration","","","","test_input_name_pozitive[end space]",""
"passed","Sun Jan 08 04:50:42 GMT 2023","Sun Jan 08 04:50:50 GMT 2023","7605","tests","test_main","","","","test_btn_mail",""
"skipped","Sun Jan 08 04:58:16 GMT 2023","Sun Jan 08 04:58:29 GMT 2023","12653","tests","test_registration","","","","test_input_name_negative[1000 symbols]",""
"skipped","Sun Jan 08 04:57:51 GMT 2023","Sun Jan 08 04:57:59 GMT 2023","8583","tests","test_registration","","","","test_input_name_negative[31 symbols]",""
"passed","Sun Jan 08 04:51:05 GMT 2023","Sun Jan 08 04:51:12 GMT 2023","7517","tests","test_main","","","","test_btn_ls",""
"passed","Sun Jan 08 04:56:16 GMT 2023","Sun Jan 08 04:56:34 GMT 2023","18180","tests","test_registration","","","","test_input_name_pozitive[begin space]",""
"passed","Sun Jan 08 04:53:20 GMT 2023","Sun Jan 08 04:53:31 GMT 2023","10623","tests","test_main","","","","test_user_can_go_to_mail",""
"passed","Sun Jan 08 04:49:21 GMT 2023","Sun Jan 08 04:49:34 GMT 2023","12437","tests","test_main","","","","test_btn_phone",""
"skipped","Sun Jan 08 04:59:01 GMT 2023","Sun Jan 08 04:59:09 GMT 2023","8463","tests","test_registration","","","","test_input_name_negative[special_chars]",""
"passed","Sun Jan 08 04:51:37 GMT 2023","Sun Jan 08 04:51:46 GMT 2023","8941","tests","test_main","","","","test_input_login_in_phone",""
"passed","Sun Jan 08 04:54:24 GMT 2023","Sun Jan 08 04:54:44 GMT 2023","19924","tests","test_registration","","","","test_input_name_pozitive[3 symbols]",""
"passed","Sun Jan 08 04:53:04 GMT 2023","Sun Jan 08 04:53:16 GMT 2023","12044","tests","test_main","","","","test_user_can_go_to_ok",""
"passed","Sun Jan 08 04:53:46 GMT 2023","Sun Jan 08 04:53:59 GMT 2023","13528","tests","test_main","","","","test_user_can_go_to_ya",""
"passed","Sun Jan 08 04:53:34 GMT 2023","Sun Jan 08 04:53:43 GMT 2023","8950","tests","test_main","","","","test_user_can_go_to_google",""
"passed","Sun Jan 08 04:48:20 GMT 2023","Sun Jan 08 04:48:35 GMT 2023","14318","tests","test_login","","","","test_user_can_autorize_valid_email",""
"skipped","Sun Jan 08 04:57:37 GMT 2023","Sun Jan 08 04:57:47 GMT 2023","10131","tests","test_registration","","","","test_input_name_negative[1 symbols]",""
"passed","Sun Jan 08 04:52:50 GMT 2023","Sun Jan 08 04:53:01 GMT 2023","10563","tests","test_main","","","","test_user_can_go_to_vk",""
"passed","Sun Jan 08 04:52:03 GMT 2023","Sun Jan 08 04:52:12 GMT 2023","9032","tests","test_main","","","","test_input_login_in_mail",""
"passed","Sun Jan 08 04:48:37 GMT 2023","Sun Jan 08 04:48:48 GMT 2023","10790","tests","test_login","","","","test_error_invalid_password",""
