"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jan 07 17:53:20 GMT 2023","Sat Jan 07 17:53:30 GMT 2023","9266","","test_registration","","","","test_input_name_negative[symbols with digit]",""
"passed","Sat Jan 07 17:45:42 GMT 2023","Sat Jan 07 17:45:50 GMT 2023","7841","","test_main","","","","test_input_login_in_mail",""
"passed","Sat Jan 07 17:45:14 GMT 2023","Sat Jan 07 17:45:26 GMT 2023","12447","","test_main","","","","test_input_login_in_phone",""
"passed","Sat Jan 07 17:44:26 GMT 2023","Sat Jan 07 17:44:35 GMT 2023","8958","","test_main","","","","test_btn_login",""
"skipped","Sat Jan 07 17:52:11 GMT 2023","Sat Jan 07 17:52:22 GMT 2023","11128","","test_registration","","","","test_input_name_negative[1000 symbols]",""
"passed","Sat Jan 07 17:47:46 GMT 2023","Sat Jan 07 17:48:06 GMT 2023","19469","","test_registration","","","","test_input_name_pozitive[2 symbols]",""
"skipped","Sat Jan 07 17:53:34 GMT 2023","Sat Jan 07 17:53:42 GMT 2023","8544","","test_registration","","","","test_input_name_negative[with space]",""
"passed","Sat Jan 07 17:46:16 GMT 2023","Sat Jan 07 17:46:23 GMT 2023","7230","","test_main","","","","test_input_login_in_ls",""
"passed","Sat Jan 07 17:49:18 GMT 2023","Sat Jan 07 17:49:39 GMT 2023","20937","","test_registration","","","","test_input_name_pozitive[30 symbols]",""
"skipped","Sat Jan 07 17:52:39 GMT 2023","Sat Jan 07 17:52:49 GMT 2023","9977","","test_registration","","","","test_input_name_negative[with 2 -]",""
"skipped","Sat Jan 07 17:51:14 GMT 2023","Sat Jan 07 17:51:25 GMT 2023","10695","","test_registration","","","","test_input_name_negative[empty]",""
"passed","Sat Jan 07 17:43:35 GMT 2023","Sat Jan 07 17:43:43 GMT 2023","7927","","test_login","","","","test_error_empty_email",""
"skipped","Sat Jan 07 17:51:53 GMT 2023","Sat Jan 07 17:52:07 GMT 2023","14363","","test_registration","","","","test_input_name_negative[255 symbols]",""
"passed","Sat Jan 07 17:46:04 GMT 2023","Sat Jan 07 17:46:12 GMT 2023","7870","","test_main","","","","test_input_mail_in_ls",""
"passed","Sat Jan 07 17:50:28 GMT 2023","Sat Jan 07 17:50:47 GMT 2023","18624","","test_registration","","","","test_input_name_pozitive[end space]",""
"skipped","Sat Jan 07 17:51:28 GMT 2023","Sat Jan 07 17:51:37 GMT 2023","9089","","test_registration","","","","test_input_name_negative[1 symbols]",""
