"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 08 12:34:25 GMT 2023","Sun Jan 08 12:34:34 GMT 2023","9002","tests","test_registration","","","","test_input_name_negative[31 symbols]",""
"passed","Sun Jan 08 12:28:48 GMT 2023","Sun Jan 08 12:28:55 GMT 2023","7603","tests","test_main","","","","test_input_mail_in_phone",""
"passed","Sun Jan 08 12:31:21 GMT 2023","Sun Jan 08 12:31:38 GMT 2023","16864","tests","test_registration","","","","test_input_name_pozitive[3 symbols]",""
"passed","Sun Jan 08 12:33:03 GMT 2023","Sun Jan 08 12:33:20 GMT 2023","16947","tests","test_registration","","","","test_input_name_pozitive[begin space]",""
"passed","Sun Jan 08 12:30:09 GMT 2023","Sun Jan 08 12:30:19 GMT 2023","10756","tests","test_main","","","","test_user_can_go_to_ok",""
"passed","Sun Jan 08 12:29:35 GMT 2023","Sun Jan 08 12:29:43 GMT 2023","7676","tests","test_main","","","","test_input_mail_in_ls",""
"passed","Sun Jan 08 12:31:00 GMT 2023","Sun Jan 08 12:31:17 GMT 2023","17436","tests","test_registration","","","","test_input_name_pozitive[2 symbols]",""
"skipped","Sun Jan 08 12:35:11 GMT 2023","Sun Jan 08 12:35:19 GMT 2023","8707","tests","test_registration","","","","test_input_name_negative[with 2 -]",""
"passed","Sun Jan 08 12:29:18 GMT 2023","Sun Jan 08 12:29:24 GMT 2023","5657","tests","test_main","","","","test_input_login_in_mail",""
"passed","Sun Jan 08 12:28:57 GMT 2023","Sun Jan 08 12:29:05 GMT 2023","7244","tests","test_main","","","","test_input_login_in_phone",""
"passed","Sun Jan 08 12:28:21 GMT 2023","Sun Jan 08 12:28:27 GMT 2023","6186","tests","test_main","","","","test_btn_login",""
"skipped","Sun Jan 08 12:35:42 GMT 2023","Sun Jan 08 12:35:51 GMT 2023","9013","tests","test_registration","","","","test_input_name_negative[symbols with digit]",""
"passed","Sun Jan 08 12:27:49 GMT 2023","Sun Jan 08 12:27:59 GMT 2023","10206","tests","test_login","","","","test_user_can_autorize_valid_login",""
"passed","Sun Jan 08 12:28:11 GMT 2023","Sun Jan 08 12:28:17 GMT 2023","6558","tests","test_main","","","","test_btn_mail",""
"skipped","Sun Jan 08 12:35:54 GMT 2023","Sun Jan 08 12:36:04 GMT 2023","9613","tests","test_registration","","","","test_input_name_negative[with space]",""
"skipped","Sun Jan 08 12:35:21 GMT 2023","Sun Jan 08 12:35:30 GMT 2023","8304","tests","test_registration","","","","test_input_name_negative[special_chars]",""
"passed","Sun Jan 08 12:31:41 GMT 2023","Sun Jan 08 12:31:58 GMT 2023","16726","tests","test_registration","","","","test_input_name_pozitive[15 symbols]",""
"passed","Sun Jan 08 12:32:22 GMT 2023","Sun Jan 08 12:32:39 GMT 2023","17578","tests","test_registration","","","","test_input_name_pozitive[30 symbols]",""
"passed","Sun Jan 08 12:30:37 GMT 2023","Sun Jan 08 12:30:44 GMT 2023","6713","tests","test_main","","","","test_user_can_go_to_google",""
"skipped","Sun Jan 08 12:34:37 GMT 2023","Sun Jan 08 12:34:45 GMT 2023","8272","tests","test_registration","","","","test_input_name_negative[255 symbols]",""
"passed","Sun Jan 08 12:29:26 GMT 2023","Sun Jan 08 12:29:33 GMT 2023","7653","tests","test_main","","","","test_input_ls_in_mail",""
"passed","Sun Jan 08 12:28:01 GMT 2023","Sun Jan 08 12:28:09 GMT 2023","7460","tests","test_main","","","","test_btn_phone",""
"passed","Sun Jan 08 12:27:21 GMT 2023","Sun Jan 08 12:27:30 GMT 2023","9007","tests","test_login","","","","test_error_invalid_password",""
"passed","Sun Jan 08 12:33:22 GMT 2023","Sun Jan 08 12:33:41 GMT 2023","18494","tests","test_registration","","","","test_input_name_pozitive[end space]",""
"passed","Sun Jan 08 12:32:42 GMT 2023","Sun Jan 08 12:33:00 GMT 2023","18510","tests","test_registration","","","","test_input_name_pozitive[with -]",""
"skipped","Sun Jan 08 12:35:02 GMT 2023","Sun Jan 08 12:35:08 GMT 2023","6799","tests","test_registration","","","","test_input_name_negative[Latin symbols]",""
"passed","Sun Jan 08 12:27:09 GMT 2023","Sun Jan 08 12:27:19 GMT 2023","10229","tests","test_login","","","","test_user_can_autorize_valid_email",""
"passed","Sun Jan 08 12:32:00 GMT 2023","Sun Jan 08 12:32:19 GMT 2023","18708","tests","test_registration","","","","test_input_name_pozitive[29 symbols]",""
"skipped","Sun Jan 08 12:35:33 GMT 2023","Sun Jan 08 12:35:40 GMT 2023","6958","tests","test_registration","","","","test_input_name_negative[digit]",""
"passed","Sun Jan 08 12:29:45 GMT 2023","Sun Jan 08 12:29:52 GMT 2023","7326","tests","test_main","","","","test_input_login_in_ls",""
"passed","Sun Jan 08 12:30:22 GMT 2023","Sun Jan 08 12:30:34 GMT 2023","12345","tests","test_main","","","","test_user_can_go_to_mail",""
"passed","Sun Jan 08 12:28:29 GMT 2023","Sun Jan 08 12:28:36 GMT 2023","7256","tests","test_main","","","","test_btn_ls",""
"passed","Sun Jan 08 12:33:45 GMT 2023","Sun Jan 08 12:34:01 GMT 2023","16434","tests","test_registration","","","","test_input_name_pozitive[upper]",""
"passed","Sun Jan 08 12:29:54 GMT 2023","Sun Jan 08 12:30:07 GMT 2023","12347","tests","test_main","","","","test_user_can_go_to_vk",""
"skipped","Sun Jan 08 12:34:15 GMT 2023","Sun Jan 08 12:34:23 GMT 2023","7519","tests","test_registration","","","","test_input_name_negative[1 symbols]",""
"skipped","Sun Jan 08 12:34:04 GMT 2023","Sun Jan 08 12:34:12 GMT 2023","7451","tests","test_registration","","","","test_input_name_negative[empty]",""
"passed","Sun Jan 08 12:27:32 GMT 2023","Sun Jan 08 12:27:40 GMT 2023","7620","tests","test_login","","","","test_error_empty_email",""
"passed","Sun Jan 08 12:29:07 GMT 2023","Sun Jan 08 12:29:14 GMT 2023","7799","tests","test_main","","","","test_input_phone_in_mail",""
"passed","Sun Jan 08 12:28:39 GMT 2023","Sun Jan 08 12:28:46 GMT 2023","6280","tests","test_main","","","","test_btn_phone_default",""
"passed","Sun Jan 08 12:30:46 GMT 2023","Sun Jan 08 12:30:57 GMT 2023","10504","tests","test_main","","","","test_user_can_go_to_ya",""
"skipped","Sun Jan 08 12:34:49 GMT 2023","Sun Jan 08 12:34:58 GMT 2023","9533","tests","test_registration","","","","test_input_name_negative[1000 symbols]",""
