"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 07 16:59:50 GMT 2023","Sat Jan 07 16:59:57 GMT 2023","7009","","test_main","","","","test_btn_mail",""
"passed","Sat Jan 07 17:03:11 GMT 2023","Sat Jan 07 17:03:19 GMT 2023","8331","","test_main","","","","test_user_can_go_to_google",""
"passed","Sat Jan 07 17:01:58 GMT 2023","Sat Jan 07 17:02:05 GMT 2023","7261","","test_main","","","","test_input_login_in_mail",""
"passed","Sat Jan 07 16:58:56 GMT 2023","Sat Jan 07 16:59:08 GMT 2023","11993","","test_login","","","","test_user_can_autorize_valid_email",""
"skipped","Sat Jan 07 17:06:14 GMT 2023","Sat Jan 07 17:06:22 GMT 2023","7491","","test_registration","","","","test_input_name_negative[with 2 -]",""
"passed","Sat Jan 07 17:02:17 GMT 2023","Sat Jan 07 17:02:23 GMT 2023","6197","","test_main","","","","test_input_mail_in_ls",""
"passed","Sat Jan 07 16:59:21 GMT 2023","Sat Jan 07 16:59:28 GMT 2023","7275","","test_login","","","","test_error_empty_email",""
"passed","Sat Jan 07 17:02:47 GMT 2023","Sat Jan 07 17:02:58 GMT 2023","10667","","test_main","","","","test_user_can_go_to_ok",""
"passed","Sat Jan 07 17:01:21 GMT 2023","Sat Jan 07 17:01:28 GMT 2023","7159","","test_main","","","","test_btn_phone_default",""
"passed","Sat Jan 07 17:01:30 GMT 2023","Sat Jan 07 17:01:37 GMT 2023","7303","","test_main","","","","test_input_mail_in_phone",""
"passed","Sat Jan 07 17:02:25 GMT 2023","Sat Jan 07 17:02:32 GMT 2023","7346","","test_main","","","","test_input_login_in_ls",""
"failed","Sat Jan 07 17:03:48 GMT 2023","Sat Jan 07 17:03:56 GMT 2023","7954","","test_registration","","","","test_input_name_pozitive[3 symbols]",""
"skipped","Sat Jan 07 17:06:54 GMT 2023","Sat Jan 07 17:07:03 GMT 2023","8132","","test_registration","","","","test_input_name_negative[with space]",""
"failed","Sat Jan 07 17:04:54 GMT 2023","Sat Jan 07 17:05:01 GMT 2023","7175","","test_registration","","","","test_input_name_pozitive[end space]",""
"skipped","Sat Jan 07 17:06:25 GMT 2023","Sat Jan 07 17:06:32 GMT 2023","7158","","test_registration","","","","test_input_name_negative[special_chars]",""
"failed","Sat Jan 07 17:03:38 GMT 2023","Sat Jan 07 17:03:46 GMT 2023","8149","","test_registration","","","","test_input_name_pozitive[2 symbols]",""
"passed","Sat Jan 07 16:59:10 GMT 2023","Sat Jan 07 16:59:18 GMT 2023","8646","","test_login","","","","test_error_invalid_password",""
"failed","Sat Jan 07 17:04:19 GMT 2023","Sat Jan 07 17:04:27 GMT 2023","8176","","test_registration","","","","test_input_name_pozitive[30 symbols]",""
"passed","Sat Jan 07 16:59:42 GMT 2023","Sat Jan 07 16:59:48 GMT 2023","6796","","test_main","","","","test_btn_phone",""
"failed","Sat Jan 07 17:05:03 GMT 2023","Sat Jan 07 17:05:11 GMT 2023","8193","","test_registration","","","","test_input_name_pozitive[uper]",""
"passed","Sat Jan 07 17:02:07 GMT 2023","Sat Jan 07 17:02:14 GMT 2023","7384","","test_main","","","","test_input_ls_in_mail",""
"passed","Sat Jan 07 17:03:01 GMT 2023","Sat Jan 07 17:03:09 GMT 2023","8136","","test_main","","","","test_user_can_go_to_mail",""
"skipped","Sat Jan 07 17:06:44 GMT 2023","Sat Jan 07 17:06:52 GMT 2023","8246","","test_registration","","","","test_input_name_negative[symbols with digit]",""
"passed","Sat Jan 07 17:03:22 GMT 2023","Sat Jan 07 17:03:36 GMT 2023","14348","","test_main","","","","test_user_can_go_to_ya",""
"passed","Sat Jan 07 17:01:49 GMT 2023","Sat Jan 07 17:01:56 GMT 2023","6273","","test_main","","","","test_input_phone_in_mail",""
"passed","Sat Jan 07 17:01:39 GMT 2023","Sat Jan 07 17:01:46 GMT 2023","7252","","test_main","","","","test_input_login_in_phone",""
"skipped","Sat Jan 07 17:05:52 GMT 2023","Sat Jan 07 17:06:02 GMT 2023","9563","","test_registration","","","","test_input_name_negative[1000 symbols]",""
"skipped","Sat Jan 07 17:05:42 GMT 2023","Sat Jan 07 17:05:50 GMT 2023","8699","","test_registration","","","","test_input_name_negative[255 symbols]",""
"skipped","Sat Jan 07 17:06:34 GMT 2023","Sat Jan 07 17:06:42 GMT 2023","7520","","test_registration","","","","test_input_name_negative[digit]",""
"failed","Sat Jan 07 17:04:08 GMT 2023","Sat Jan 07 17:04:17 GMT 2023","8206","","test_registration","","","","test_input_name_pozitive[29 symbols]",""
"skipped","Sat Jan 07 17:05:13 GMT 2023","Sat Jan 07 17:05:20 GMT 2023","7526","","test_registration","","","","test_input_name_negative[empty]",""
"skipped","Sat Jan 07 17:05:22 GMT 2023","Sat Jan 07 17:05:30 GMT 2023","7783","","test_registration","","","","test_input_name_negative[1 symbols]",""
"failed","Sat Jan 07 17:03:58 GMT 2023","Sat Jan 07 17:04:06 GMT 2023","8333","","test_registration","","","","test_input_name_pozitive[15 symbols]",""
"passed","Sat Jan 07 17:00:00 GMT 2023","Sat Jan 07 17:00:06 GMT 2023","6806","","test_main","","","","test_btn_login",""
"failed","Sat Jan 07 17:04:42 GMT 2023","Sat Jan 07 17:04:51 GMT 2023","8722","","test_registration","","","","test_input_name_pozitive[begin space]",""
